180001	3.8168	2.9336	4.7398
181001	4.4706	3.6177	5.9535
182001	4.9245	3.8937	6.3385
183001	3.7195	2.8998	4.82909
184001	3.6173	2.9459	4.6847
185001	3.3958	2.7659	4.5062
186001	3.5227	2.8047	4.6655
187001	3.576	2.8733	4.4989
188001	3.5195	2.8364	4.5926
189001	3.9443	3.2142	4.9633
190001	3.3683	2.7469	4.4086
191001	3.6432	2.8981	4.6419
192001	3.4917	2.7921	4.5448
193001	3.3413	2.6888	4.4304
194001	3.5015	2.9008	4.6747
195001	3.6987	3.0642	4.8815
196001	3.3727	2.8008	4.489
197001	3.6144	3.122	4.9443
198001	4.5613	3.6335	5.9704
199001	3.4308	2.7385	4.4419
200001	3.3376	2.6224	4.4432
201001	3.3821	2.6768	4.3661
202001	4.2975	3.2271	5.3908
203001	3.4618	2.8239	4.5363
204001	3.95	3.1101	5.1055
205001	3.6216	2.8785	4.696
206001	5.6375	4.4855	7.66801
207001	5.1192	4.096	6.5844
208001	4.0667	3.297	5.0655
209001	3.5825	2.9127	4.6346
210001	3.6708	2.9454	4.5814
211001	3.8257	3.0758	4.8776
212001	4.7956	3.9374	6.3502
213001	4.1164	3.163	5.2536
214001	3.6672	3.028	4.8775
215001	3.4466	2.8255	4.5003
216001	3.285	2.7314	4.3364
217001	3.4063	2.6379	4.4413
218001	3.4989	2.7615	4.5718
219001	3.48	2.7055	4.637
220001	3.5403	2.8903	4.6769
221001	3.6727	2.8613	4.6849
222001	3.5941	2.8082	4.6172
223001	5.4668	4.4718	7.0502
224001	3.4978	2.8339	4.5235
225001	3.9721	3.1216	5.2444
226001	3.8389	3.2646	5.1227
227001	4.0656	3.2686	5.2567
228001	3.7608	3.1288	4.7848
229001	3.9058	2.9972	4.8063
230001	3.6814	2.908	4.5565
231001	3.7139	3.0048	4.8798
232001	3.8681	3.0835	4.853
233001	3.5129	2.7307	4.5947
234001	3.2584	2.6203	4.3423
235001	3.1802	2.561	4.3648
236001	3.3144	2.6767	4.4341
237001	3.4488	2.8623	4.6411
238001	3.3221	2.6766	4.3854
239001	3.3456	2.744	4.5499
240001	3.8705	3.0668	5.0906
241001	3.8169	2.9776	4.7301
242001	4.8645	3.5852	6.92021
243001	3.565	2.7364	4.54231
244001	3.9696	3.1233	5.1239
245001	4.0421	3.1526	5.4643
246001	3.5353	2.8418	4.7111
247001	3.4492	2.8852	4.6912
248001	3.4558	2.8339	4.5382
249001	3.4125	2.859	4.5059
250001	5.9282	4.62181	8.0493
251001	3.752	3.1874	5.0132
252001	3.8965	3.3222	5.2347
253001	3.932	3.1889	5.039
254001	3.6123	3.0104	4.7366
255001	3.784	3.0076	5.0972
256001	3.4685	2.6905	4.5096
257001	3.2598	2.7306	4.5587
258001	3.4801	2.853	4.5954
259001	3.6723	2.8983	4.6758
260001	3.4135	2.7181	4.3956
261001	3.6444	3.2267	4.7514
262001	3.5272	2.9272	4.5726
263001	4.0446	3.325	5.3222
